Texto,Usuario,Column3,Column4
@yelimar2019 Mi reina con todo respeto ???? vos sos encantadora tenés un cuerpo espectacular ??????,Stiven28107797,"Medellín, Colombia",FALSE
"@itsjoelpimentel @YouTube Gordo, además toy votando por vos y los chicos, lo sientooo

#KCAMexico #JoelPimentel #CNCO #CNCOwners",Camilagomez2015,"Medellín, Colombia",FALSE
@Almagro_OEA2015 @PedroCastilloTe @OEA_oficial Jajajajajaj¡¡¡ esto se cuenta y no se cree. De verás @Almagro_OEA2015 ? vos estas de acuerdo con ese orobioso ciudadano de extrema izquierda q declaró q va a sacar a mis compatriotas de Venezuela y se los va entregar al genocida Maduro para cambiarlos como esclavos del siglo XVII,alexrpadron,"Medellín, Colombia",TRUE
@silviajulianaa Vos sí sabés.,LopezJuanDa,"Medellín, Colombia",TRUE
Las frases anónimas escritas en baños y los vos me gustas tanto que mejor te acompaño,untuiter0mas,"Medellín, Colombia",FALSE
"@cartipuff @Karol7Ka @ErikaBu55811856 Para toda no, que pena con vos",GiulianRpoA,"Envigado, Colombia",TRUE
@MAndreaNieto Él se salió de Semana porque empezó a llegar gente como vos,hrvieda,"Medellín, Colombia",TRUE
Alzate vos!!!,delpilar_1,"Medellín, Colombia",TRUE
@JDValde @BernardoAGuerra @claragiraldo @mauriciofacio_ @AlfredoRamosM @JuliaCorreaNutt @luzmamunera @martinhroman @daniel71371 Y vos no has podido superar que @QuinteroCalle gano las elecciones con un alto respaldo popular y que Nataly Velez sacó mas votos que usted. Crezca por dios!,Cockdefrente,"Itagui, Colombia",FALSE
@LadelDiminutivo Por vos me la estoy viendo otra vez!!!,_darkkitty_,"Medellín, Colombia",FALSE
"@irrangell @Miguel_anmr Concuerdo con vos: ""por definición sería un mentiroso"".

Pero pienso que tratándose de la edad, no habría que darle como tanta relevancia.",EsisVRicardo,"Medellín, Colombia",TRUE
"Así cómo cuando en aquellas épocas vos decías dame y te respondían por donde…

???? ailofiuuuu…",NATYOSORNO,"Medellín, Colombia",TRUE
"No compitas con nadie, vas a tu propio ritmo. No trates de demostrarle nada a nadie, vive la vida a tu manera porque es tuya y nada más. Cree en ti ciegamente, levántate las veces que te caigas, mírate al espejo y motívate, que si tú no lo haces, nadie lo hará por vos.",PuentesMedellin,"Medellín, Colombia",FALSE
"@IVANSERRANOAL Igualmente mi hermano, eres un gran periodista y una gran persona Iván, mi admiración y respeto a un hombre como vos",marulojose,"Medellín, Colombia",TRUE
@LauraHerreraH @lajulicastro Así vas a ser vos ??,JuliAndradebed,"Medellín, Colombia",FALSE
@ysilavecaminand aprovecha y bañate vos,matigaribaldi,triste,TRUE
@carlaafigueroa2 Siempre sos vos cállate ome,goddesscamilae,Medellín,FALSE
"Hoy estamos de luto pq Silvia se nos va...
Silvia aún que me cueste decirlo yo a vos si te tenía cierto cariño. Se le quiere reina.
#LaReinaDelFlow2 https://t.co/HoVbqHSGrX",Charleimy_flw,"Medellín, Colombia",FALSE
@cysorianoc @marceps_ Vos también nea,JuanSue_89,Medellín-Colombia,TRUE
"Y vos quien sos para venir a hablar de comprensión si me escupiste??

https://t.co/wAr3uhRbpf",____________DBM,"Medellín, Antioquia",TRUE
@ElMismoGeo Pana ya no deja abrir. En el video se logra ver que fue así ? Leí en unos comentarios de la noticia (donde dicen lo mismo que vos) que la pelada como que se había lanzado en aparente suicidio.,ArturoLopezB,"Itagui, Colombia",FALSE
"A este #Lunes, llegó momento perfecto par que programes tu favorita o simplemente disfruta de todas las que tenemos para vos hoy.

#clásicoherrera?? #LaRadioDeLosClásicos #junio #2021 #LaFMInolvidable #EnJulioLaFMUnVeranoDeClásicos @lafmmedellin @clasicoherrera https://t.co/lGo6MHWHxE",santyescobar_12,"Medellín, Colombia.",TRUE
